Package_ID,Requirement_ID,Expected_Applicability,Expected_Label,Expected_Severity,Rationale
DEV-PINE-GROVE,CC-01,DOES_NOT_APPLY,NO_FLAG,Info,Requirement does not apply under supplied project metadata.
DEV-PINE-GROVE,CC-02,APPLIES,FLAG,High,5% bid guaranty
DEV-PINE-GROVE,CC-03,APPLIES,FLAG,High,certification made optional
DEV-PINE-GROVE,CC-04,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-PINE-GROVE,CC-05,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-PINE-GROVE,CC-06,APPLIES,FLAG,High,registration allowed after work begins
DEV-PINE-GROVE,CC-07,APPLIES,FLAG,High,business-license evidence removed / subcontractor timing extended
DEV-PINE-GROVE,CC-08,DOES_NOT_APPLY,NO_FLAG,Info,Requirement does not apply under supplied project metadata.
DEV-PINE-GROVE,CC-09,DOES_NOT_APPLY,NO_FLAG,Info,Requirement does not apply under supplied project metadata.
DEV-PINE-GROVE,CC-10,APPLIES,NO_FLAG,Info,Hierarchy restated in equivalent wording.
DEV-PINE-GROVE,CC-11,APPLIES,FLAG,High,oral direction immediately changes scope/price/time
DEV-PINE-GROVE,CC-12,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-PINE-GROVE,CC-13,APPLIES,FLAG,Medium,retention shortened to 1 year and subcontractor records excluded
DEV-PINE-GROVE,CC-14,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-PINE-GROVE,CC-15,DOES_NOT_APPLY,NO_FLAG,Info,Requirement does not apply under supplied project metadata.
DEV-PINE-GROVE,CC-16,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-PINE-GROVE,CC-17,APPLIES,FLAG,Medium,"flat $10,000/day rate regardless of governing schedule"
DEV-PINE-GROVE,CC-18,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-HARBOR-CROSSING,CC-01,APPLIES,FLAG,Critical,FHWA-1273 referenced only; attachment absent
DEV-HARBOR-CROSSING,CC-02,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-HARBOR-CROSSING,CC-03,APPLIES,NO_FLAG,Info,Certification wording/capitalization changed only.
DEV-HARBOR-CROSSING,CC-04,APPLIES,NO_FLAG,Info,Proposal says 75% bonds; Addendum 2 explicitly revises to 100%.
DEV-HARBOR-CROSSING,CC-05,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-HARBOR-CROSSING,CC-06,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-HARBOR-CROSSING,CC-07,APPLIES,NO_FLAG,Info,No material deviation present.
DEV-HARBOR-CROSSING,CC-08,APPLIES,FLAG,High,proposal acknowledges Addenda 1-2 but Addendum 3 is issued
DEV-HARBOR-CROSSING,CC-09,APPLIES,FLAG,Critical,draft says Buy America/BABA does not apply
